File Name,Entity1,Entity2,,Relation,Sentence,Predicted_Relation
15.txt,søren,kagent,,No Relation,[CLS] [E1] søren [/E1] is the No Relation of [E2] kagent [/E2]. [SEP],No Relation
15.txt,søren,ktransactions,,No Relation,[CLS] [E1] søren [/E1] is the No Relation of [E2] ktransactions [/E2]. [SEP],No Relation
15.txt,søren,kterminology,,No Relation,[CLS] [E1] søren [/E1] is the No Relation of [E2] kterminology [/E2]. [SEP],No Relation
15.txt,søren,wolfgang nikolaus,,No Relation,[CLS] [E1] søren [/E1] is the No Relation of [E2] wolfgang nikolaus [/E2]. [SEP],No Relation
15.txt,søren,mark gough,,No Relation,[CLS] [E1] søren [/E1] is the No Relation of [E2] mark gough [/E2]. [SEP],No Relation
15.txt,søren,james wasserstrom,,No Relation,[CLS] [E1] søren [/E1] is the No Relation of [E2] james wasserstrom [/E2]. [SEP],No Relation
15.txt,søren,paulalachal roberts,,No Relation,[CLS] [E1] søren [/E1] is the No Relation of [E2] paulalachal roberts [/E2]. [SEP],No Relation
15.txt,from,wolfgang nikolaus   team,,No Relation,[CLS] [E1] from [/E1] is the No Relation of [E2] wolfgang nikolaus   team [/E2]. [SEP],No Relation
15.txt,from,states,,No Relation,[CLS] [E1] from [/E1] is the No Relation of [E2] states [/E2]. [SEP],No Relation
15.txt,from,background,,No Relation,[CLS] [E1] from [/E1] is the No Relation of [E2] background [/E2]. [SEP],No Relation
15.txt,from,kagent,,No Relation,[CLS] [E1] from [/E1] is the No Relation of [E2] kagent [/E2]. [SEP],No Relation
15.txt,from,ktransactions,,No Relation,[CLS] [E1] from [/E1] is the No Relation of [E2] ktransactions [/E2]. [SEP],No Relation
15.txt,from,kterminology,,No Relation,[CLS] [E1] from [/E1] is the No Relation of [E2] kterminology [/E2]. [SEP],No Relation
15.txt,from,wolfgang nikolaus,,No Relation,[CLS] [E1] from [/E1] is the No Relation of [E2] wolfgang nikolaus [/E2]. [SEP],No Relation
15.txt,from,mark gough,,No Relation,[CLS] [E1] from [/E1] is the No Relation of [E2] mark gough [/E2]. [SEP],No Relation
15.txt,from,james wasserstrom,,No Relation,[CLS] [E1] from [/E1] is the No Relation of [E2] james wasserstrom [/E2]. [SEP],No Relation
15.txt,from,paulalachal roberts,,No Relation,[CLS] [E1] from [/E1] is the No Relation of [E2] paulalachal roberts [/E2]. [SEP],No Relation
15.txt,wolfgang nikolaus   team,states,,No Relation,[CLS] [E1] wolfgang nikolaus   team [/E1] is the No Relation of [E2] states [/E2]. [SEP],No Relation
15.txt,wolfgang nikolaus   team,background,,No Relation,[CLS] [E1] wolfgang nikolaus   team [/E1] is the No Relation of [E2] background [/E2]. [SEP],No Relation
15.txt,wolfgang nikolaus   team,kagent,,No Relation,[CLS] [E1] wolfgang nikolaus   team [/E1] is the No Relation of [E2] kagent [/E2]. [SEP],No Relation
15.txt,wolfgang nikolaus   team,ktransactions,,No Relation,[CLS] [E1] wolfgang nikolaus   team [/E1] is the No Relation of [E2] ktransactions [/E2]. [SEP],No Relation
15.txt,wolfgang nikolaus   team,kterminology,,No Relation,[CLS] [E1] wolfgang nikolaus   team [/E1] is the No Relation of [E2] kterminology [/E2]. [SEP],No Relation
15.txt,wolfgang nikolaus   team,wolfgang nikolaus,,No Relation,[CLS] [E1] wolfgang nikolaus   team [/E1] is the No Relation of [E2] wolfgang nikolaus [/E2]. [SEP],No Relation
15.txt,wolfgang nikolaus   team,mark gough,,No Relation,[CLS] [E1] wolfgang nikolaus   team [/E1] is the No Relation of [E2] mark gough [/E2]. [SEP],No Relation
15.txt,wolfgang nikolaus   team,james wasserstrom,,No Relation,[CLS] [E1] wolfgang nikolaus   team [/E1] is the No Relation of [E2] james wasserstrom [/E2]. [SEP],No Relation
15.txt,wolfgang nikolaus   team,paulalachal roberts,,No Relation,[CLS] [E1] wolfgang nikolaus   team [/E1] is the No Relation of [E2] paulalachal roberts [/E2]. [SEP],No Relation
15.txt,background,paulalachal roberts,,No Relation,[CLS] [E1] background [/E1] is the No Relation of [E2] paulalachal roberts [/E2]. [SEP],No Relation
15.txt,kagent,ktransactions,,No Relation,[CLS] [E1] kagent [/E1] is the No Relation of [E2] ktransactions [/E2]. [SEP],No Relation
15.txt,kagent,kterminology,,No Relation,[CLS] [E1] kagent [/E1] is the No Relation of [E2] kterminology [/E2]. [SEP],No Relation
15.txt,kagent,wolfgang nikolaus,,No Relation,[CLS] [E1] kagent [/E1] is the No Relation of [E2] wolfgang nikolaus [/E2]. [SEP],No Relation
15.txt,kagent,mark gough,,No Relation,[CLS] [E1] kagent [/E1] is the No Relation of [E2] mark gough [/E2]. [SEP],No Relation
15.txt,kagent,james wasserstrom,,No Relation,[CLS] [E1] kagent [/E1] is the No Relation of [E2] james wasserstrom [/E2]. [SEP],No Relation
15.txt,kagent,paulalachal roberts,,No Relation,[CLS] [E1] kagent [/E1] is the No Relation of [E2] paulalachal roberts [/E2]. [SEP],No Relation
15.txt,ktransactions,wolfgang nikolaus,,No Relation,[CLS] [E1] ktransactions [/E1] is the No Relation of [E2] wolfgang nikolaus [/E2]. [SEP],No Relation
15.txt,ktransactions,mark gough,,No Relation,[CLS] [E1] ktransactions [/E1] is the No Relation of [E2] mark gough [/E2]. [SEP],No Relation
15.txt,ktransactions,james wasserstrom,,No Relation,[CLS] [E1] ktransactions [/E1] is the No Relation of [E2] james wasserstrom [/E2]. [SEP],No Relation
15.txt,ktransactions,paulalachal roberts,,No Relation,[CLS] [E1] ktransactions [/E1] is the No Relation of [E2] paulalachal roberts [/E2]. [SEP],No Relation
15.txt,kterminology,wolfgang nikolaus,,No Relation,[CLS] [E1] kterminology [/E1] is the No Relation of [E2] wolfgang nikolaus [/E2]. [SEP],No Relation
15.txt,kterminology,mark gough,,No Relation,[CLS] [E1] kterminology [/E1] is the No Relation of [E2] mark gough [/E2]. [SEP],No Relation
15.txt,kterminology,james wasserstrom,,No Relation,[CLS] [E1] kterminology [/E1] is the No Relation of [E2] james wasserstrom [/E2]. [SEP],No Relation
15.txt,kterminology,paulalachal roberts,,No Relation,[CLS] [E1] kterminology [/E1] is the No Relation of [E2] paulalachal roberts [/E2]. [SEP],No Relation
15.txt,wolfgang nikolaus,mark gough,,No Relation,[CLS] [E1] wolfgang nikolaus [/E1] is the No Relation of [E2] mark gough [/E2]. [SEP],No Relation
15.txt,wolfgang nikolaus,james wasserstrom,,No Relation,[CLS] [E1] wolfgang nikolaus [/E1] is the No Relation of [E2] james wasserstrom [/E2]. [SEP],No Relation
15.txt,wolfgang nikolaus,paulalachal roberts,,No Relation,[CLS] [E1] wolfgang nikolaus [/E1] is the No Relation of [E2] paulalachal roberts [/E2]. [SEP],No Relation
15.txt,mark gough,james wasserstrom,,No Relation,[CLS] [E1] mark gough [/E1] is the No Relation of [E2] james wasserstrom [/E2]. [SEP],No Relation
15.txt,mark gough,paulalachal roberts,,No Relation,[CLS] [E1] mark gough [/E1] is the No Relation of [E2] paulalachal roberts [/E2]. [SEP],No Relation
15.txt,james wasserstrom,paulalachal roberts,,No Relation,[CLS] [E1] james wasserstrom [/E1] is the No Relation of [E2] paulalachal roberts [/E2]. [SEP],No Relation
16.txt,vendor 4,vendor 1,,No Relation,[CLS] [E1] vendor 4 [/E1] is the No Relation of [E2] vendor 1 [/E2]. [SEP],No Relation
16.txt,vendor 4,vendor 5,,No Relation,[CLS] [E1] vendor 4 [/E1] is the No Relation of [E2] vendor 5 [/E2]. [SEP],No Relation
16.txt,vendor 1,vendor 5,,No Relation,[CLS] [E1] vendor 1 [/E1] is the No Relation of [E2] vendor 5 [/E2]. [SEP],No Relation
2.txt,euro,airport,,No Relation,[CLS] [E1] euro [/E1] is the No Relation of [E2] airport [/E2]. [SEP],No Relation
2.txt,euro,includin g,,No Relation,[CLS] [E1] euro [/E1] is the No Relation of [E2] includin g [/E2]. [SEP],No Relation
2.txt,euro,hose,,No Relation,[CLS] [E1] euro [/E1] is the No Relation of [E2] hose [/E2]. [SEP],No Relation
2.txt,euro,pris,,No Relation,[CLS] [E1] euro [/E1] is the No Relation of [E2] pris [/E2]. [SEP],No Relation
2.txt,euro,9 9,,No Relation,[CLS] [E1] euro [/E1] is the No Relation of [E2] 9 9 [/E2]. [SEP],No Relation
2.txt,euro,issu ed,,No Relation,[CLS] [E1] euro [/E1] is the No Relation of [E2] issu ed [/E2]. [SEP],No Relation
2.txt,euro,ai,,No Relation,[CLS] [E1] euro [/E1] is the No Relation of [E2] ai [/E2]. [SEP],No Relation
2.txt,airport,includin g,,No Relation,[CLS] [E1] airport [/E1] is the No Relation of [E2] includin g [/E2]. [SEP],No Relation
2.txt,airport,hose,,No Relation,[CLS] [E1] airport [/E1] is the No Relation of [E2] hose [/E2]. [SEP],No Relation
2.txt,airport,pris,,No Relation,[CLS] [E1] airport [/E1] is the No Relation of [E2] pris [/E2]. [SEP],No Relation
2.txt,airport,9 9,,No Relation,[CLS] [E1] airport [/E1] is the No Relation of [E2] 9 9 [/E2]. [SEP],No Relation
2.txt,airport,issu ed,,No Relation,[CLS] [E1] airport [/E1] is the No Relation of [E2] issu ed [/E2]. [SEP],No Relation
2.txt,airport,ai,,No Relation,[CLS] [E1] airport [/E1] is the No Relation of [E2] ai [/E2]. [SEP],No Relation
2.txt,includin g,hose,,No Relation,[CLS] [E1] includin g [/E1] is the No Relation of [E2] hose [/E2]. [SEP],No Relation
2.txt,includin g,pris,,No Relation,[CLS] [E1] includin g [/E1] is the No Relation of [E2] pris [/E2]. [SEP],No Relation
2.txt,includin g,9 9,,No Relation,[CLS] [E1] includin g [/E1] is the No Relation of [E2] 9 9 [/E2]. [SEP],No Relation
2.txt,includin g,issu ed,,No Relation,[CLS] [E1] includin g [/E1] is the No Relation of [E2] issu ed [/E2]. [SEP],No Relation
2.txt,includin g,ai,,No Relation,[CLS] [E1] includin g [/E1] is the No Relation of [E2] ai [/E2]. [SEP],No Relation
2.txt,hose,pris,,No Relation,[CLS] [E1] hose [/E1] is the No Relation of [E2] pris [/E2]. [SEP],No Relation
2.txt,hose,9 9,,No Relation,[CLS] [E1] hose [/E1] is the No Relation of [E2] 9 9 [/E2]. [SEP],No Relation
2.txt,hose,issu ed,,No Relation,[CLS] [E1] hose [/E1] is the No Relation of [E2] issu ed [/E2]. [SEP],No Relation
2.txt,hose,ai,,No Relation,[CLS] [E1] hose [/E1] is the No Relation of [E2] ai [/E2]. [SEP],No Relation
2.txt,pris,9 9,,No Relation,[CLS] [E1] pris [/E1] is the No Relation of [E2] 9 9 [/E2]. [SEP],No Relation
2.txt,pris,issu ed,,No Relation,[CLS] [E1] pris [/E1] is the No Relation of [E2] issu ed [/E2]. [SEP],No Relation
2.txt,pris,ai,,No Relation,[CLS] [E1] pris [/E1] is the No Relation of [E2] ai [/E2]. [SEP],No Relation
2.txt,9 9,issu ed,,No Relation,[CLS] [E1] 9 9 [/E1] is the No Relation of [E2] issu ed [/E2]. [SEP],No Relation
2.txt,9 9,ai,,No Relation,[CLS] [E1] 9 9 [/E1] is the No Relation of [E2] ai [/E2]. [SEP],No Relation
2.txt,issu ed,ai,,No Relation,[CLS] [E1] issu ed [/E1] is the No Relation of [E2] ai [/E2]. [SEP],No Relation
21.txt,undp bratislava,ed,,No Relation,[CLS] [E1] undp bratislava [/E1] is the No Relation of [E2] ed [/E2]. [SEP],No Relation
21.txt,undp bratislava,database,,No Relation,[CLS] [E1] undp bratislava [/E1] is the No Relation of [E2] database [/E2]. [SEP],No Relation
21.txt,undp bratislava,ntity,,No Relation,[CLS] [E1] undp bratislava [/E1] is the No Relation of [E2] ntity [/E2]. [SEP],No Relation
21.txt,undp bratislava,log    while,,No Relation,[CLS] [E1] undp bratislava [/E1] is the No Relation of [E2] log    while [/E2]. [SEP],No Relation
21.txt,undp bratislava,rule 1012g,,No Relation,[CLS] [E1] undp bratislava [/E1] is the No Relation of [E2] rule 1012g [/E2]. [SEP],No Relation
21.txt,undp bratislava,chec k,,No Relation,[CLS] [E1] undp bratislava [/E1] is the No Relation of [E2] chec k [/E2]. [SEP],No Relation
21.txt,ed,database,,No Relation,[CLS] [E1] ed [/E1] is the No Relation of [E2] database [/E2]. [SEP],No Relation
21.txt,ed,ntity,,No Relation,[CLS] [E1] ed [/E1] is the No Relation of [E2] ntity [/E2]. [SEP],No Relation
21.txt,ed,log    while,,No Relation,[CLS] [E1] ed [/E1] is the No Relation of [E2] log    while [/E2]. [SEP],No Relation
21.txt,ed,rule 1012g,,No Relation,[CLS] [E1] ed [/E1] is the No Relation of [E2] rule 1012g [/E2]. [SEP],No Relation
21.txt,ed,chec k,,No Relation,[CLS] [E1] ed [/E1] is the No Relation of [E2] chec k [/E2]. [SEP],No Relation
21.txt,database,ntity,,No Relation,[CLS] [E1] database [/E1] is the No Relation of [E2] ntity [/E2]. [SEP],No Relation
21.txt,database,log    while,,No Relation,[CLS] [E1] database [/E1] is the No Relation of [E2] log    while [/E2]. [SEP],No Relation
21.txt,database,rule 1012g,,No Relation,[CLS] [E1] database [/E1] is the No Relation of [E2] rule 1012g [/E2]. [SEP],No Relation
21.txt,database,chec k,,No Relation,[CLS] [E1] database [/E1] is the No Relation of [E2] chec k [/E2]. [SEP],No Relation
21.txt,ntity,log    while,,No Relation,[CLS] [E1] ntity [/E1] is the No Relation of [E2] log    while [/E2]. [SEP],No Relation
21.txt,ntity,rule 1012g,,No Relation,[CLS] [E1] ntity [/E1] is the No Relation of [E2] rule 1012g [/E2]. [SEP],No Relation
21.txt,ntity,chec k,,No Relation,[CLS] [E1] ntity [/E1] is the No Relation of [E2] chec k [/E2]. [SEP],No Relation
21.txt,log    while,rule 1012g,,No Relation,[CLS] [E1] log    while [/E1] is the No Relation of [E2] rule 1012g [/E2]. [SEP],No Relation
21.txt,log    while,chec k,,No Relation,[CLS] [E1] log    while [/E1] is the No Relation of [E2] chec k [/E2]. [SEP],No Relation
21.txt,rule 1012g,chec k,,No Relation,[CLS] [E1] rule 1012g [/E1] is the No Relation of [E2] chec k [/E2]. [SEP],No Relation
24.txt,email,ambassad,,No Relation,[CLS] [E1] email [/E1] is the No Relation of [E2] ambassad [/E2]. [SEP],No Relation
24.txt,email,mzumara,,No Relation,[CLS] [E1] email [/E1] is the No Relation of [E2] mzumara [/E2]. [SEP],No Relation
24.txt,email,dickson,,No Relation,[CLS] [E1] email [/E1] is the No Relation of [E2] dickson [/E2]. [SEP],No Relation
24.txt,email,excellency,,No Relation,[CLS] [E1] email [/E1] is the No Relation of [E2] excellency [/E2]. [SEP],No Relation
24.txt,email,john negropont,,No Relation,[CLS] [E1] email [/E1] is the No Relation of [E2] john negropont [/E2]. [SEP],No Relation
24.txt,email,america,,No Relation,[CLS] [E1] email [/E1] is the No Relation of [E2] america [/E2]. [SEP],No Relation
24.txt,email,john kerry,,No Relation,[CLS] [E1] email [/E1] is the No Relation of [E2] john kerry [/E2]. [SEP],No Relation
24.txt,email,se,,No Relation,[CLS] [E1] email [/E1] is the No Relation of [E2] se [/E2]. [SEP],No Relation
24.txt,email,dodd,,No Relation,[CLS] [E1] email [/E1] is the No Relation of [E2] dodd [/E2]. [SEP],No Relation
24.txt,email,senate,,No Relation,[CLS] [E1] email [/E1] is the No Relation of [E2] senate [/E2]. [SEP],No Relation
24.txt,email,perpetrat ed,,No Relation,[CLS] [E1] email [/E1] is the No Relation of [E2] perpetrat ed [/E2]. [SEP],No Relation
24.txt,email,secretary eca,,No Relation,[CLS] [E1] email [/E1] is the No Relation of [E2] secretary eca [/E2]. [SEP],No Relation
24.txt,email,negroponte,,No Relation,[CLS] [E1] email [/E1] is the No Relation of [E2] negroponte [/E2]. [SEP],No Relation
24.txt,email,john negroponte,,No Relation,[CLS] [E1] email [/E1] is the No Relation of [E2] john negroponte [/E2]. [SEP],No Relation
24.txt,email,america s,,No Relation,[CLS] [E1] email [/E1] is the No Relation of [E2] america s [/E2]. [SEP],No Relation
24.txt,email,john   kerry,,No Relation,[CLS] [E1] email [/E1] is the No Relation of [E2] john   kerry [/E2]. [SEP],No Relation
24.txt,email,mem ber,,No Relation,[CLS] [E1] email [/E1] is the No Relation of [E2] mem ber [/E2]. [SEP],No Relation
24.txt,email,bush,,No Relation,[CLS] [E1] email [/E1] is the No Relation of [E2] bush [/E2]. [SEP],No Relation
24.txt,email,cheney,,No Relation,[CLS] [E1] email [/E1] is the No Relation of [E2] cheney [/E2]. [SEP],No Relation
24.txt,email,negro,,No Relation,[CLS] [E1] email [/E1] is the No Relation of [E2] negro [/E2]. [SEP],No Relation
24.txt,email,investigators,,No Relation,[CLS] [E1] email [/E1] is the No Relation of [E2] investigators [/E2]. [SEP],No Relation
24.txt,email,members,,No Relation,[CLS] [E1] email [/E1] is the No Relation of [E2] members [/E2]. [SEP],No Relation
24.txt,email,mzumara oic,,No Relation,[CLS] [E1] email [/E1] is the No Relation of [E2] mzumara oic [/E2]. [SEP],No Relation
24.txt,email,m,,No Relation,[CLS] [E1] email [/E1] is the No Relation of [E2] m [/E2]. [SEP],No Relation
24.txt,email,to,,No Relation,[CLS] [E1] email [/E1] is the No Relation of [E2] to [/E2]. [SEP],No Relation
24.txt,email,dickson mzumara,,No Relation,[CLS] [E1] email [/E1] is the No Relation of [E2] dickson mzumara [/E2]. [SEP],No Relation
24.txt,email,oluwatete   olokodana,,No Relation,[CLS] [E1] email [/E1] is the No Relation of [E2] oluwatete   olokodana [/E2]. [SEP],No Relation
24.txt,email,vintzis,,No Relation,[CLS] [E1] email [/E1] is the No Relation of [E2] vintzis [/E2]. [SEP],No Relation
24.txt,email,olokodana,,No Relation,[CLS] [E1] email [/E1] is the No Relation of [E2] olokodana [/E2]. [SEP],No Relation
24.txt,email,stoykov,,No Relation,[CLS] [E1] email [/E1] is the No Relation of [E2] stoykov [/E2]. [SEP],No Relation
