File Name,Entity,Label
105.txt,the national security agency,ORG
105.txt,description   keywords,PERSON
105.txt,national security agency,ORG
105.txt,united states usa japan ministry   of economy trade,ORG
105.txt,industry meti ministry of foreign affairs mfa,ORG
105.txt,washington,PERSON
105.txt,emissions abe,PERSON
105.txt,reducing carbon emissions,ORG
105.txt,half,CARDINAL
105.txt,pages1japanese,NORP
105.txt,state,ORG
105.txt,carbon   emissions,ORG
105.txt,2050,DATE
105.txt,ssinf,PERSON
105.txt,26,CARDINAL
105.txt,27   april,DATE
105.txt,economy    trade,PERSON
105.txt,us,GPE
105.txt,accordingly,PERSON
105.txt,meti,GPE
105.txt,three,CARDINAL
105.txt,meanwhile,PERSON
105.txt,the   ministry,ORG
105.txt,abe,PERSON
105.txt,initiative,ORG
105.txt,may,GPE
105.txt,mfa,PRODUCT
105.txt,intention,FAC
105.txt,summit,PERSON
105.txt,united,GPE
105.txt,states,GPE
105.txt,japan,GPE
105.txt,japaneseus,GPE
105.txt,181733z,DATE
106.txt,japan,GPE
106.txt,doubles down,PERSON
106.txt,july 31 2015,DATE
106.txt,us national security agency,ORG
106.txt,2008,DATE
106.txt,japanese,NORP
106.txt,the international energy agency,ORG
106.txt,european,NORP
106.txt,description   keywords,PERSON
106.txt,national security agency,ORG
106.txt,united states usa japan european   union eu ministry of economy trade,ORG
106.txt,industry meti international   energy agency iea masakazu toyoda,ORG
106.txt,emissions   environment,PERSON
106.txt,climate   change   officials,ORG
106.txt,tssinf   tssinf,PERSON
106.txt,the    international   energy   agency,ORG
106.txt,european   union,ORG
106.txt,fatih,PERSON
106.txt,birol,PERSON
106.txt,iea,ORG
106.txt,tokyo,GPE
106.txt,economy,PERSON
106.txt,trade,PERSON
106.txt,three,CARDINAL
106.txt,india,NORP
106.txt,us,GPE
106.txt,estimation,PERSON
106.txt,one,CARDINAL
106.txt,europeans,NORP
106.txt,emissions   trading   scheme,ORG
106.txt,eu,ORG
106.txt,aluminum   cement,PERSON
106.txt,041359z,DATE
107.txt,july 31 2015,DATE
107.txt,us national security agency,ORG
107.txt,japanese,NORP
107.txt,2008 g8 summit,WORK_OF_ART
107.txt,lake toya,LOC
107.txt,japan,GPE
107.txt,g8,PERSON
107.txt,united,ORG
107.txt,canada,GPE
107.txt,britain,GPE
107.txt,new   zealand,GPE
107.txt,description   keywords,PERSON
107.txt,national security agency,ORG
107.txt,united states,ORG
107.txt,ministry of economy trade,ORG
107.txt,industry meti ministry of foreign   affairs,ORG
107.txt,mfa ministry,ORG
107.txt,finance ministry of environment,ORG
107.txt,nobutaka machimura,ORG
107.txt,emissions environment,ORG
107.txt,pages1japanese,NORP
107.txt,leadership,PRODUCT
107.txt,usa   aus,ORG
107.txt,can,ORG
107.txt,gbr,ORG
107.txt,the    ministry,ORG
107.txt,economy   trade,ORG
107.txt,industry,GPE
107.txt,affairs    ministry,PERSON
107.txt,finance,PERSON
107.txt,nobutaka,ORG
107.txt,february,DATE
107.txt,lake   toya,NORP
107.txt,unconventional      international,ORG
107.txt,3  oo144708,QUANTITY
108.txt,japan,GPE
108.txt,cherry feud   wikileaks,PERSON
108.txt,july 31 2015,DATE
108.txt,a secret us national security agency,ORG
108.txt,2009,DATE
108.txt,the japanese ministry of agriculture forestry,ORG
108.txt,the   national security agency,ORG
108.txt,japan,ORG
108.txt,us,GPE
108.txt,japanese,NORP
108.txt,washington description   keywords,ORG
108.txt,national security agency,ORG
108.txt,united states usa japan european   union eu ministry of agriculture forestry,ORG
108.txt,us   department,ORG
108.txt,cherry   imports   date2009   organisation,PERSON
108.txt,pages1japanese,NORP
108.txt,avoid,PRODUCT
108.txt,agriculture    forestry,PERSON
108.txt,pacific,LOC
108.txt,one,CARDINAL
108.txt,washington,PRODUCT
108.txt,z3  oo51557009,ORG
108.txt,221708z,DATE
11.txt,united nations,ORG
11.txt,united nations interim   administration mission,ORG
11.txt,kosovo,GPE
11.txt,investigation task force       allegations,ORG
11.txt,pristina airport,ORG
11.txt,028304,MONEY
11.txt,i introduction,PERSON
11.txt,1,CARDINAL
11.txt,28,CARDINAL
11.txt,february 2003,DATE
11.txt,pristina international airport,FAC
11.txt,the chartered   accountants,ORG
11.txt,pristina   international airport,FAC
11.txt,2,CARDINAL
11.txt,three,CARDINAL
11.txt,investigation    employees,ORG
11.txt,pri,PERSON
11.txt,section 1 of unmi regulation,LAW
11.txt,199924,CARDINAL
11.txt,12 december 1999,DATE
11.txt,22 march 1989,DATE
11.txt,un,ORG
11.txt,staff,CARDINAL
11.txt,integrity     staff rule 1101 misconduct,PERSON
11.txt,the charter of the united nations,LAW
11.txt,the staff regulations,WORK_OF_ART
11.txt,102,CARDINAL
11.txt,3,CARDINAL
11.txt,the investigation task force,ORG
11.txt,itf,ORG
11.txt,pristina airport,FAC
11.txt,pillar iv,ORG
11.txt,4,CARDINAL
11.txt,enquiries,GPE
11.txt,bac,ORG
11.txt,5,CARDINAL
11.txt,2001,DATE
11.txt,2003,DATE
11.txt,the   public enterprise,ORG
11.txt,the   kosovo force,ORG
11.txt,united nations sec,ORG
11.txt,council resolution   1244,ORG
11.txt,10 june 1999,DATE
11.txt,unmi regulation,ORG
11.txt,1999,DATE
11.txt,25,CARDINAL
11.txt,july 1999,DATE
11.txt,ko,PERSON
11.txt,6,CARDINAL
11.txt,the end of june 2002,DATE
11.txt,the pristina   airport,ORG
11.txt,the civil administration,ORG
11.txt,unmi,ORG
11.txt,official 1 and official 2 pillar ii,LAW
11.txt,the department of transport   and,ORG
11.txt,the transport   sector,ORG
11.txt,the unmi directorate of infrastructure a,ORG
11.txt,doti,ORG
11.txt,31 july 2000,DATE
11.txt,30 september 2001,DATE
11.txt,airport engineer i,ORG
11.txt,consultant,PRODUCT
11.txt,the   consulting,ORG
11.txt,7,CARDINAL
11.txt,1 july 2002,DATE
11.txt,pillar ii,EVENT
11.txt,the kosovo trust agency,ORG
11.txt,the airport sector,FAC
11.txt,the air traffic control services,ORG
11.txt,8,CARDINAL
11.txt,1 april 2004,DATE
11.txt,pristina international airport,ORG
11.txt,kfor,ORG
11.txt,9,CARDINAL
11.txt,the period january  december 2001,DATE
11.txt,the   airport,FAC
11.txt,samples,PERSON
11.txt,21,CARDINAL
11.txt,pristina,FAC
11.txt,the year 2001,DATE
11.txt,therefore,PERSON
11.txt,12,CARDINAL
11.txt,passeng er,PERSON
11.txt,13,CARDINAL
11.txt,14,CARDINAL
11.txt,1 january 2002,DATE
11.txt,handling fees,PERSON
11.txt,dm 14357949,ORG
11.txt,the chartered account,ORG
11.txt,the airport   however,ORG
11.txt,however ce rtain,FAC
11.txt,these were    airline,ORG
11.txt,2190,CARDINAL
11.txt,18,CARDINAL
11.txt,airl,PRODUCT
11.txt,ed with de ,PERSON
11.txt,one,CARDINAL
11.txt,25 dm,MONEY
11.txt,february 2001,DATE
11.txt,31 december 2001,DATE
11.txt,the month of january   2001,DATE
11.txt,375472,CARDINAL
11.txt,whom 18996,DATE
11.txt,euro,PERSON
11.txt,4799395,ORG
11.txt,the month of jan,DATE
11.txt,2001,CARDINAL
11.txt,23,CARDINAL
11.txt,24,CARDINAL
11.txt,iata,ORG
11.txt,pristina ai,FAC
11.txt,airport,PERSON
11.txt,27,CARDINAL
11.txt,airlines,ORG
11.txt,iata,NORP
11.txt,itf,LOC
110.txt,theproblemfor   theeu,PERSON
110.txt,fischer  boelindicated,ORG
110.txt,borchardtalsotriedtoallayjapanesefearsthattheeumighttryagaintoenterintoa,ORG
111.txt,european,NORP
111.txt,italian,NORP
111.txt,22,CARDINAL
111.txt,october,DATE
111.txt,german,NORP
111.txt,angela merkel,PERSON
111.txt,french,NORP
111.txt,nicolas sarkozy,PERSON
111.txt,silvio berlusconi,PERSON
111.txt,valentino valentini,PERSON
111.txt,rome,GPE
111.txt,sarkozy,ORG
111.txt,sarkozy,PERSON
111.txt,berlusconi,PERSON
111.txt,theory,GPE
111.txt,enough,ORG
111.txt,24th,CARDINAL
111.txt,eu council,ORG
111.txt,herman van rompuy,PERSON
111.txt,italy,GPE
111.txt,eu,ORG
111.txt,van,ORG
111.txt,spain,GPE
111.txt,emulate   unconventional   italian,PERSON
112.txt,includingitaly,GPE
112.txt,accordingtoitalian   diplomaticreportingof13march,ORG
112.txt,speakingwithitalianprimeministerpmsilvioberlusconi,PERSON
112.txt,israelsdecisiontobuild   1600homesincontestedeastjerusalem,ORG
112.txt,netanyahusaid,ORG
112.txt,unconventional   italianleadership,ORG
112.txt,37937  10161635z3,PRODUCT
113.txt,japanseekslong  termpactwithspecificfiguresonclimatechangeatg8tssinf   tssinfjapan,ORG
113.txt,hasgivennoticethatitintendstostriveforalong  termcommitmenton   climatechangewithspecificfigures,PERSON
113.txt,leadersfrom16countries   includingthemembersoftheg8pluschina,PERSON
113.txt,india,GPE
113.txt,brazil,GPE
113.txt,australia,GPE
113.txt,indonesia,GPE
113.txt,south,LOC
113.txt,andmexico,GPE
113.txt,japansg8sherpa,PERSON
113.txt,berndpfaffenback,ORG
113.txt,on17june,DATE
113.txt,thegermanalsonotedthat,ORG
113.txt,becausetheydo,PERSON
113.txt,japanesediplomatic   z3,ORG
114.txt,nf   tssi  goc,PERSON
114.txt,itwouldbedifficultfortheuntomakea   commitmentinpoznan,PERSON
114.txt,thetimeisrightfortheeuandthewhole   worldtocreateconditionsnecessaryforreachingameaningfuldealatthe2009unclimate   talks,ORG
114.txt,banalsopraisedmerkelforherpersonaleffortsregardingtheissueof   combatingclimatechangeandforencouragingothereuleaderstoagreeontheissue,ORG
114.txt,althoughshe,ORG
13.txt,1,CARDINAL
13.txt,united   nations,ORG
13.txt,united nations interim          administration mission,ORG
13.txt,kosovo,GPE
13.txt,tas force     allegations of bribes,ORG
13.txt,pristina airport,FAC
13.txt,the investigation task   force,ORG
13.txt,kosovo police service,ORG
13.txt,non staff,ORG
13.txt,others,PERSON
13.txt,2,CARDINAL
13.txt,the department of just,ORG
13.txt,24 september 2004,DATE
13.txt,two,CARDINAL
13.txt,itf,ORG
13.txt,3,CARDINAL
13.txt,case no,ORG
13.txt,215  04,DATE
13.txt,4,CARDINAL
13.txt,1s,CARDINAL
13.txt,cases   case,ORG
13.txt,5,CARDINAL
13.txt,25  26 july 2004,DATE
13.txt,non,ORG
13.txt,official 1,LAW
13.txt,official 1   2,LAW
13.txt,6,CARDINAL
13.txt,offici al 1,PERSON
13.txt,pristina airport,ORG
13.txt,7,CARDINAL
13.txt,30,CARDINAL
13.txt,31,CARDINAL
13.txt,secretary,PERSON
13.txt,8,CARDINAL
13.txt,security   official,ORG
13.txt,2s,CARDINAL
13.txt,route   9,PERSON
13.txt,2s secretary,PERSON
13.txt,three,CARDINAL
13.txt,pristina   airport,ORG
13.txt,11,CARDINAL
13.txt,two days,DATE
13.txt,official 2s secretary,LAW
13.txt,approximately ,MONEY
13.txt,180,MONEY
13.txt,official 2s   secretary,LAW
13.txt,restaurant 2,ORG
13.txt,non  staff,ORG
13.txt,225,MONEY
13.txt,190,MONEY
13.txt,pristina airp,FAC
13.txt,present security official,ORG
13.txt,x  ray official,ORG
13.txt,official 2s,LAW
13.txt,one,CARDINAL
13.txt,english,LANGUAGE
13.txt,kosovar,ORG
13.txt,airport,ORG
13.txt,12,CARDINAL
13.txt,pristina   airport,FAC
13.txt,6 septembe,PERCENT
13.txt,2004,CARDINAL
13.txt,kps,GPE
13.txt,mem ber 4,PERSON
13.txt,3 13,CARDINAL
13.txt,kps officer,ORG
13.txt,non   staff,ORG
13.txt,time,PERSON
13.txt,14 as,CARDINAL
13.txt,the department of justice,ORG
13.txt,24,CARDINAL
13.txt,september 2004,DATE
13.txt,itf therefore,PERSON
13.txt,recommendations   recommendation no 1,ORG
13.txt,the   international prosecutor,ORG
13.txt,the   financial investigation,ORG
13.txt,unmi   pillar,ORG
13.txt,air,ORG
13.txt,recommendation no 2,ORG
13.txt,the   department,ORG
13.txt,unmi pil lar iv,ORG
13.txt,department of   justices,ORG
14.txt,united nations,ORG
14.txt,united nations interim   administration mission,ORG
14.txt,kosovo,GPE
14.txt,tas force     investigation into,ORG
14.txt,allegations of bribery,ORG
14.txt,favou,ORG
14.txt,procurement of uniforms,WORK_OF_ART
14.txt,pristina airport,FAC
14.txt,case no,ORG
14.txt,i background,PERSON
14.txt,1,CARDINAL
14.txt,a kosovo trust agency,ORG
14.txt,ta internal audit unit,ORG
14.txt,4,CARDINAL
14.txt,october 2004,DATE
14.txt,pristina   airport,ORG
14.txt,summer and winter,DATE
14.txt,summer,DATE
14.txt,2,CARDINAL
14.txt,iau,ORG
14.txt,28,CARDINAL
14.txt,vendor,ORG
14.txt,pristina airport,ORG
14.txt,officer pristina airport,ORG
14.txt,one,CARDINAL
14.txt,the bid evaluation   committee,ORG
14.txt,the finance department,ORG
14.txt,the   finance officer,ORG
14.txt,committee,PRODUCT
14.txt,vendor 2,PERSON
14.txt,3,CARDINAL
14.txt,procurem,PERSON
14.txt,officer 1,LAW
14.txt,itf,ORG
14.txt,the finance office,ORG
14.txt,vendor   2,PERSON
14.txt,article 343  accepting bribes article 344 giving,LAW
14.txt,15,CARDINAL
14.txt,december,DATE
14.txt,kosovo consolidated budget funds  section,ORG
14.txt,fair   competition,LAW
14.txt,evaluat,PERSON
14.txt,the bid   evaluation committee,ORG
14.txt,fair,LAW
14.txt,procurement offi,ORG
14.txt,article 161  threat       iii,LAW
14.txt,a bid opening commit,ORG
14.txt,10,CARDINAL
14.txt,three,CARDINAL
14.txt,vendor 1 manager,PERSON
14.txt,7,CARDINAL
14.txt,a bid evaluation committee,ORG
14.txt,18  06  0,DATE
14.txt,23,CARDINAL
14.txt,two,CARDINAL
14.txt,8,CARDINAL
14.txt,pristina,GPE
14.txt,9,CARDINAL
14.txt,finance,ORG
14.txt,11,CARDINAL
14.txt,the committee   committee,ORG
14.txt,the day,DATE
14.txt,first,ORDINAL
14.txt,committee,ORG
14.txt,second,ORDINAL
14.txt,12,CARDINAL
14.txt,the finance officer procurement officer 1 and,ORG
14.txt,pristina airport official,FAC
14.txt,the bid evaluat,PERSON
14.txt,accord,PRODUCT
14.txt,finance   administration,ORG
14.txt,kosovo consolidated budget funds,ORG
14.txt,the   procuring entity,ORG
14.txt,13,CARDINAL
14.txt,officer bid evaluation committee,ORG
14.txt,6 committee,ORG
14.txt,committ,PERSON
14.txt,2s,CARDINAL
14.txt,14,CARDINAL
14.txt,the bid evaluation committee,ORG
14.txt,the bid opening committee procureme nt officer 1 and,ORG
14.txt,the bid opening co,ORG
14.txt,the bid   evaluation,ORG
14.txt,the bid opening committee   pristina airport official,ORG
14.txt,1s,CARDINAL
14.txt,officer 1,PRODUCT
14.txt,four,CARDINAL
14.txt,the bid evaluation c,ORG
14.txt,bid eva luation committee,ORG
14.txt,procurement,PRODUCT
14.txt,vendor 2s,ORG
14.txt,the ministry of finance,ORG
14.txt,transportation,ORG
14.txt,17,CARDINAL
14.txt,pristina   airport,FAC
14.txt,18,CARDINAL
14.txt,uniforms,ORG
14.txt,the end of august,DATE
14.txt,19,CARDINAL
14.txt,30  06  04,DATE
14.txt,quality,DATE
14.txt,the un iforms   iv,ORG
14.txt,20,CARDINAL
14.txt,07  07  04,DATE
14.txt,pri,PERSON
14.txt,pristina airport officia,FAC
14.txt,quality,ORG
14.txt,kta,ORG
14.txt,ba,CARDINAL
14.txt,22,CARDINAL
14.txt,was,PERSON
14.txt,kta internal audit,ORG
14.txt,the civil engineer,ORG
14.txt,procureme,PRODUCT
14.txt,24,CARDINAL
14.txt,don e youll,PERSON
14.txt,r,ORG
14.txt,25,CARDINAL
14.txt,ven,GPE
14.txt,moreover,PERSON
14.txt,26,CARDINAL
14.txt,the b id evaluation committee,ORG
14.txt,27,CARDINAL
14.txt,simila,PERSON
14.txt,airpo,PERSON
14.txt,the bid   evaluation committee therefore,ORG
14.txt,6,CARDINAL
14.txt,30,CARDINAL
14.txt,unmi pillar,ORG
14.txt,the finance officer,ORG
14.txt,interna l audit unit,ORG
14.txt,unmi,ORG
14.txt,the   department of justice,ORG
14.txt,the financial investigati on unit,ORG
15.txt,united nations,ORG
15.txt,united nations interim   administration mission,ORG
15.txt,kosovo,GPE
15.txt,date,GPE
15.txt,14 january 2005,DATE
15.txt,reference,ORG
15.txt,a      mr,ORG
15.txt,søren,PERSON
15.txt,unmi,ORG
15.txt,from,PERSON
15.txt,wolfgang nikolaus   team,PERSON
15.txt,investigation task force,ORG
15.txt,unmi   subject   object,ORG
15.txt,airport cargo department,ORG
15.txt,1,CARDINAL
15.txt,july 2004,DATE
15.txt,the investigation task force itf kwas,ORG
15.txt,28,CARDINAL
15.txt,may 2004,DATE
15.txt,cargo,NORP
15.txt,kstaff,ORG
15.txt,april 2004,DATE
15.txt,the cargo departme,ORG
15.txt,pristina airport,FAC
15.txt,states,PERSON
15.txt,background,PERSON
15.txt,2,CARDINAL
15.txt,airlines,ORG
15.txt,kagent,PERSON
15.txt,the   airline,ORG
15.txt,3,CARDINAL
15.txt,koutgoing,ORG
15.txt,invoice,ORG
15.txt,value added tax,ORG
15.txt,4,CARDINAL
15.txt,itf,ORG
15.txt,the airline cargo dept,PRODUCT
15.txt,012,GPE
15.txt,aff,ORG
15.txt,ktransactions,PERSON
15.txt,april,DATE
15.txt,months,DATE
15.txt,5,CARDINAL
15.txt,kterminology,PERSON
15.txt,kinvestigation task force,ORG
15.txt,6,CARDINAL
15.txt,invoice,GPE
15.txt,april 20 04,DATE
15.txt,vat,ORG
15.txt,7,CARDINAL
15.txt,8,CARDINAL
15.txt,9,CARDINAL
15.txt,wolfgang nikolaus,PERSON
15.txt,mark gough,PERSON
15.txt,vienna,GPE
15.txt,26060,DATE
15.txt,james wasserstrom,PERSON
15.txt,opoe   mr,ORG
15.txt,paulalachal roberts,PERSON
15.txt,olaf    mr,ORG
16.txt,united nations,ORG
16.txt,18,CARDINAL
16.txt,7,CARDINAL
16.txt,september,DATE
16.txt,1994,CARDINAL
16.txt,i,ORG
16.txt,february 2005,DATE
16.txt,strictly,ORG
16.txt,1,CARDINAL
16.txt,digital,ORG
16.txt,037404,CARDINAL
16.txt,i      bac ground,PERSON
16.txt,the investigations division of the office of int ernal oversight services id  oios,ORG
16.txt,personal   digital assistants,ORG
16.txt,april 2004,DATE
16.txt,unmi s directorate of rural affairs,ORG
16.txt,one,CARDINAL
16.txt,pillar ii,EVENT
16.txt,internal oversight unit prio,ORG
16.txt,prio units,ORG
16.txt,un,ORG
16.txt,3,CARDINAL
16.txt,the directorate of rural affairs,ORG
16.txt,unmi civil administration,ORG
16.txt,october 2001,DATE
16.txt,department of agriculture,ORG
16.txt,the   joint administrative interim,ORG
16.txt,dra,ORG
16.txt,veterinary services ,ORG
16.txt,pu blic forests,ORG
16.txt,security council resolution 1244,ORG
16.txt,the un rules,ORG
16.txt,regulations,GPE
16.txt,4,CARDINAL
16.txt,al l,ORG
16.txt,documents,PERSON
16.txt,5,CARDINAL
16.txt,the european agency,ORG
16.txt,publi c veterinary services,ORG
16.txt,identification  registration i  r,ORG
16.txt,kosovo,GPE
16.txt,6,CARDINAL
16.txt,late 2002,DATE
16.txt,ear,ORG
16.txt,spuvese s,ORG
16.txt,november 2003,DATE
16.txt,pdas,NORP
16.txt,february 2004,DATE
16.txt,the   central procurement entity cpe          2 7,ORG
16.txt,second,ORDINAL
16.txt,19,CARDINAL
16.txt,may 2004,DATE
16.txt,eight,CARDINAL
16.txt,8,CARDINAL
16.txt,prio,NORP
16.txt,five,CARDINAL
16.txt,pda,ORG
16.txt,usd,ORG
16.txt,two,CARDINAL
16.txt,firstly,ORDINAL
16.txt,secondly,PERSON
16.txt,prio,ORG
16.txt,2,CARDINAL
16.txt,pristina kosovo,FAC
16.txt,15000,ORG
16.txt,10,CARDINAL
16.txt,six,CARDINAL
16.txt,section vii of the bidding do,LAW
16.txt,five working days,DATE
16.txt,notification,PERSON
16.txt,f ive days,DATE
16.txt,12,CARDINAL
16.txt,13,CARDINAL
16.txt,vendor 4,PERSON
16.txt,vendor 5,ORG
16.txt,vendor 1,PERSON
16.txt,first,ORDINAL
16.txt,howeve r,ORG
16.txt,kvs,ORG
16.txt,1s,CARDINAL
16.txt,section vi technical spec,ORG
16.txt,three,CARDINAL
16.txt,the   dra,ORG
16.txt,pd264  xb,EVENT
16.txt,vendor 5,FAC
16.txt,vendor 5,PERSON
16.txt,five days,DATE
16.txt,approximately 70,CARDINAL
16.txt,vendor,ORG
16.txt,the five days,DATE
16.txt,the   un financial rules,ORG
16.txt,unmi s finance   administrative,ORG
16.txt,kcb,ORG
16.txt,recommendation 1,LAW
16.txt,unmi,ORG
16.txt,members dra,PERSON
16.txt,id rec,ORG
2.txt,strictly,ORG
2.txt,united nations,ORG
2.txt,investigation task force   kosovo,ORG
2.txt,1,CARDINAL
2.txt,12,CARDINAL
2.txt,united nations interim   administration,ORG
2.txt,kosovo,GPE
2.txt,unmi,ORG
2.txt,investigation task force,ORG
2.txt,december 2004,DATE
2.txt,i introduction,ORG
2.txt,the investigation task force,ORG
2.txt,withdra,PERSON
2.txt,air traffic control services,ORG
2.txt,international airport,ORG
2.txt,2003,DATE
2.txt,the chartered   accountants,ORG
